City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Barrow,71.2906,-156.7887,42.82,87,100,10.36,US,1655932720
1,Puerto Ayora,-0.7393,-90.3518,78.76,90,59,10.0,EC,1655933253
2,Rikitea,-23.1203,-134.9692,74.95,77,39,12.1,PF,1655933254
3,Ushuaia,-54.8,-68.3,37.06,87,40,28.77,AR,1655933255
4,Cape Town,-33.9258,18.4232,60.12,92,88,2.3,ZA,1655933255
5,Coyhaique,-45.5752,-72.0662,34.41,74,0,0.0,CL,1655933053
6,Edd,13.9297,41.6925,90.61,53,57,4.38,ER,1655933256
7,Lorengau,-2.0226,147.2712,80.15,79,63,2.19,PG,1655933257
8,Kapaa,22.0752,-159.319,82.38,87,100,12.66,US,1655932998
9,Hobart,-42.8794,147.3294,53.22,81,75,5.75,AU,1655932517
10,Faya,18.3851,42.4509,71.71,50,87,3.02,SA,1655933258
11,Bethel,41.3712,-73.414,63.64,91,100,1.99,US,1655932923
12,Mataura,-46.1927,168.8643,28.47,73,100,2.8,NZ,1655932671
13,Tuktoyaktuk,69.4541,-133.0374,62.6,45,75,6.91,CA,1655932836
14,Aklavik,68.2191,-135.0107,66.2,48,40,2.3,CA,1655933259
15,Hofn,64.2539,-15.2082,49.46,58,33,15.77,IS,1655932830
16,Punta Arenas,-53.15,-70.9167,37.51,81,75,6.91,CL,1655932626
17,Sola,-13.8833,167.55,74.07,100,100,0.0,VU,1655933260
18,Tiksi,71.6872,128.8694,41.86,56,11,17.11,RU,1655933260
19,New Norfolk,-42.7826,147.0587,53.89,81,100,2.86,AU,1655932751
20,Knysna,-34.0363,23.0471,62.76,63,100,5.46,ZA,1655933261
21,Hermanus,-34.4187,19.2345,55.8,82,97,6.98,ZA,1655932837
22,Jishou,28.3167,109.7167,74.17,98,100,1.97,CN,1655933262
23,Alice Springs,-23.7,133.8833,36.95,93,0,4.61,AU,1655933003
24,Champerico,14.3,-91.9167,88.34,75,100,10.74,GT,1655933263
25,Matara,5.9485,80.5353,77.99,88,99,8.61,LK,1655933263
26,Bengkulu,-3.8004,102.2655,74.39,93,100,5.75,ID,1655933264
27,Yellowknife,62.456,-114.3525,68.56,28,20,12.66,CA,1655933190
28,Jamestown,42.097,-79.2353,85.64,61,20,16.11,US,1655933060
29,Bredasdorp,-34.5322,20.0403,60.58,69,99,6.06,ZA,1655933265
30,Tabuk,17.4189,121.4443,72.55,90,100,2.59,PH,1655933265
31,Bathsheba,13.2167,-59.5167,84.81,74,40,10.36,BB,1655933266
32,Atuona,-9.8,-139.0333,77.41,67,53,19.57,PF,1655933267
33,Katsuura,35.1333,140.3,69.85,95,100,8.97,JP,1655933267
34,Kaitangata,-46.2817,169.8464,33.24,70,75,3.94,NZ,1655932750
35,Ancud,-41.8697,-73.8203,42.22,70,83,7.4,CL,1655933084
36,Ust'Ye,59.6304,39.736,47.91,84,2,4.94,RU,1655933268
37,Christchurch,-43.5333,172.6333,34.41,100,35,0.0,NZ,1655933189
38,Qaanaaq,77.484,-69.3632,39.67,61,10,1.3,GL,1655933269
39,Thompson,55.7435,-97.8558,75.36,33,40,10.36,CA,1655933270
40,Albany,42.6001,-73.9662,65.91,81,95,4.0,US,1655932997
41,Nur-Sultan,51.1801,71.446,57.15,67,0,8.95,KZ,1655933271
42,Butaritari,3.0707,172.7902,81.19,77,98,10.65,KI,1655932678
43,Antofagasta,-23.65,-70.4,60.08,65,80,3.94,CL,1655933272
44,Hilo,19.7297,-155.09,80.33,74,100,8.05,US,1655933272
45,Celendín,-6.8703,-78.1517,61.32,59,61,6.49,PE,1655933273
46,Yangi Marg`Ilon,40.4272,71.7189,71.01,49,94,3.49,UZ,1655933273
47,Elko,41.0002,-115.5012,86.65,7,97,5.01,US,1655933334
48,Rørvik,64.8621,11.2373,51.91,100,75,20.71,NO,1655933334
49,Itoman,26.1247,127.6694,81.37,94,20,8.05,JP,1655933335
50,Jardim,-21.4803,-56.1381,79.72,46,42,6.82,BR,1655933335
51,Saint George,37.1041,-113.5841,97.43,12,0,6.91,US,1655933336
